"# of Use","počet použití"
"%1$s incl tax.","%1$s s DPH."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"%s and above","%s a výše"
"%s-%s of %s","%s-%s z %s"
"All products - recently added products, New products - products marked as new","Všechno zboží - Poslední přidané zboží, nové zboží - označené jako nové"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Jste si jisti, že chcete odstranit tuto sadu atributů? Všechno zboží z této skupiny bude odstraněno!"
"Allow All Products per Page","Povolit všechny produkty na stránce"
"Allow Dynamic Media URLs in Products and Categories","Povolit dynamické URL médií u zboží a kategorií"
"Allow HTML Tags on Frontend","Povolit HTML značky na frontendu"
"Allowed File Extensions","Povolené přípony souborů"
"Allowed file extensions to upload","Povolené přípony souborů pro odeslání na server"
"Amount","Množství"
"An error occurred while adding products to websites.","Došlo k chybě při přidávání produktů do webů."
"An error occurred while clearing comparison list.","Došlo k chybě při vymazání seznamu porovnání."
"An error occurred while deleting this review.","Došlo k chybě při odstraňování této recenze."
"An error occurred while removing products from websites.","Došlo k chybě při odebírání produktů z webů."
"An error occurred while saving the URL rewrite","Došlo k chybě při ukládání URL"
"An error occurred while saving the attribute set.","Došlo k chybě při ukládání sady atributů."
"An error occurred while saving the collection, aborting. Error message: %s","Došlo k chybě při ukládání kolekce, končím. Chybová zpráva: %s"
"An error occurred while saving the product. ","Došlo k chybě při ukládání produktu. "
"An error occurred while saving the search query.","Došlo k chybě při ukládání vyhledávacího dotazu."
"An error occurred while saving this group.","Došlo k chybě při ukládání této skupiny."
"An error occurred while saving this review.","Došlo k chybě při ukládání této recenze."
"An error occurred while trying to delete the category.","Došlo k chybě při pokusu o odstranění kategorie."
"An error occurred while updating the product(s) attributes.","Došlo k chybě při aktualizaci atributů výrobků."
"An error occurred while updating the product(s) status.","Došlo k chybě při aktualizaci stavu produktů."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","Bylo zadán neplatný obchod."
"Anchor Custom Text","Anchor Custom Text"
"Anchor Custom Title","Anchor Custom Title"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply MAP (Default Value)","Použít MAC (výchozí hodnota)"
"Apply To","Platí pro"
"Approved","Schváleno"
"Are you sure you want to delete this category?","Jste si jisti, že chcete odstranit tuto kategorii?"
"Are you sure you would like to remove all products from your comparison?","Opravdu chcete odebrat všechny produkty z porovnání?"
"Are you sure you would like to remove this item from the compare products?","Opravdu chcete odebrat tuto položku z porovnání?"
"Are you sure?","Opravdu?"
"As low as:","Již od:"
"Assign","Přiřadit"
"Assign product link","Assign product link"
"Assign product to category","Zařadit produkt do kategorie"
"Assigned Products","Přiřazené produkty"
"Associated Products","Související produkty"
"Attrib. Set Name","Název sady atributů"
"Attribute ""%s"" is invalid.","Atribut ""%s"" je neplatný."
"Attribute ""%s"" is required.","Atribut ""%s"" je vyžadován."
"Attribute Information","Informace o atributu"
"Attribute Model","Model atributu"
"Attribute Name:","Název atributu:"
"Attribute Set","Sada atributů"
"Attribute Sets","Sady atributů"
"Attribute add","Přidat atribut"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Kód atributu je neplatný. Použijte pouze písmena (a-z), číslice (0-9) nebo podtržení (_), první znak musí být písmeno."
"Attribute group with the \"/name/\" name already exists","Skupina atributů se \"/name/\" jménem již existuje"
"Attribute remove","Odebrat atribut"
"Attribute with the same code already exists","Atribut se stejným kódem již existuje"
"Attributes","Atributy"
"Attrribute names can be specified per store.","Názvy atributů lze nastavit pro každý obchod zvlášť."
"Autogenerate","Generovat automaticky"
"Availability:","Dostupnost:"
"Back","Zpět"
"Backend Model","Backend Model"
"Backend Table","Backend tabulka"
"Backend Table Title","Backend Table Title"
"Backorders","Doobjednávky"
"Base Image Width","Šířka základního obrázku"
"Based On","Na základě"
"Before Order Confirmation","Před potvrzením objednávky"
"Best Value","Nejlepší hodnota"
"Block after Info Column","Block after Info Column"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Dolní levá"
"Bottom/Right","Dolní pravá"
"Browse By","Procházet podle"
"Bundle Items","Položky balíčku"
"Buy %1$s","Koupit %1$s"
"Buy %1$s for","Koupit %1$s za"
"Buy %1$s for %2$s","Koupit %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koupit %1$s za %2$s (%3$s včetně daně) za každý"
"Buy %1$s for %2$s each","Koupit %1$s za %2$s každý"
"Cache Lifetime (Seconds)","Platnost mezipaměti (ve vteřinách)"
"Cache refresh needed.","Aktualizujte mezipamět."
"Can be Divided into Multiple Boxes for Shipping","Can be Divided into Multiple Boxes for Shipping"
"Can be used only with catalog input type Dropdown","Can be used only with catalog input type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Can\'t create image.","Can\'t create image."
"Cancel","Zrušit"
"Cannot create image.","Nelze vytvořit obrázek."
"Cannot create writeable directory '%s'.","Cannot create writeable directory '%s'."
"Cart Item Attribute","Cart Item Attribute"
"Catalog","Katalog"
"Catalog Category (Anchor)","Catalog Category (Anchor)"
"Catalog Category (Non-Anchor)","Catalog Category (Non-Anchor)"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Catalog Category Link","Odkaz na kategorii katalogu"
"Catalog New Products List","Katalog nový seznam produktů"
"Catalog Price Scope","Catalog Price Scope"
"Catalog Product Compare List","Catalog Product Compare List"
"Catalog Product Email to a Friend","Catalog Product Email to a Friend"
"Catalog Product Image Gallery Popup","Catalog Product Image Gallery Popup"
"Catalog Product Link","Catalog Product Link"
"Catalog Product View (Any)","Catalog Product View (Any)"
"Catalog Product View (Configurable)","Catalog Product View (Configurable)"
"Catalog Product View (Grouped)","Catalog Product View (Grouped)"
"Catalog Product View (Simple)","Catalog Product View (Simple)"
"Catalog Product View (Virtual)","Catalog Product View (Virtual)"
"Catalog Section","Sekce katalogu"
"Catalog Seo Sitemap (Category List)","Catalog Seo Sitemap (Category List)"
"Catalog Seo Sitemap (Category Tree)","Catalog Seo Sitemap (Category Tree)"
"Catalog Seo Sitemap (Common)","Catalog Seo Sitemap (Common)"
"Catalog Seo Sitemap (Product List)","Katalog Seo Sitemap (seznam produktů)"
"Catalog URL Rewrites","Přepsání adresy URL katalogu"
"Catalog product custom option values API","Catalog product custom option values API"
"Catalog product custom options API","Catalog product custom options API"
"Catalog, Search","Katalog, vyhledávání"
"Categories","Kategorie"
"Categories Sitemap","Categories Sitemap"
"Category","Kategorie"
"Category API","Category API"
"Category Data","Data kategorie"
"Category Flat Data","Category Flat Data"
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Produkty kategorie"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category move error","Chyba při přesunutí kategorie"
"Category move error %s","Chyba při přesunutí kategorie %s"
"Category move operation is not possible: parent category is equal to child category.","Operace přesunutí kategorie není možné: nadřazená kategorie je rovna podřízené kategorii."
"Category move operation is not possible: the current category was not found.","Operace přesunutí kategorie není možné: aktuální kategorie nebyla nalezena."
"Category move operation is not possible: the new parent category was not found.","Operace přesunutí kategorie není možné: nově nadřazená kategorie nebyla nalezena."
"Category must be an instance of Mage_Catalog_Model_Category.","Category must be an instance of Mage_Catalog_Model_Category."
"Center","Center"
"Change","Změnit"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Změnit status"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Choose an Option..."
"Clear All","Vymazat vše"
"Clear Price","Clear Price"
"Click for price","Pro cenu klikněte"
"Close Window","Zavřít okno"
"Collapse All","Sbalit vše"
"Comma-separated.","Oddělené čárkami."
"Comparable","Porovnatelné"
"Comparable on Front-end","Porovnatelné na Front-endu"
"Comparable on the Frontend","Porovnatelné na front-endu"
"Compare","Porovnat"
"Compare Products","Porovnat produkty"
"Conditions Combination","Conditions Combination"
"Configurable Product","Konfigurovatelný produkt"
"Configurable Product Settings","Nastavení konfigurovatelného produktu"
"Configure Product","Konfigurace produktu"
"Continue","Pokračovat"
"Copy From Configurable","Kopírovat z konfigurovatelného"
"Country/State","Země/stát"
"Create","Vytvořit"
"Create (Upload)","Vytvořit (Nahrát)"
"Create Empty","Vytvořit prázdný"
"Create Permanent Redirect for URLs if URL Key Changed","Create Permanent Redirect for URLs if URL Key Changed"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Create Product Settings","Vytvořit nastavení produktu"
"Create Simple Associated Product","Vytvořit jednoduchý přidružený produkt"
"Create attribute set based on another set","Create attribute set based on another set"
"Create new attribute","Vytvořit nový atribut"
"Create new category","Vytvořit novou kategorii"
"Create new product","Vytvořit nový produkt"
"Cross-sells","Cross-sells"
"Currently Shopping by:","Nakupujete:"
"Custom Design","Vlastní design"
"Custom Options","Vlastní možnosti"
"Custom options","Vlastní možnosti"
"Customer Group","Zákaznická skupina"
"Customers Reviews","Recenze zákazníků"
"Customers Tagged Product","Customers Tagged Product"
"Data Type for Saving in Database","Data Type for Saving in Database"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Fields Order","Date Fields Order"
"Date Subscribed","Date Subscribed"
"Datetime","Datetime"
"Decimal","Decimal"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message","Default Popup Text Message"
"Default Price","Default Price"
"Default Price Navigation Step","Default Price Navigation Step"
"Default Qty","Výchozí množství"
"Default Values","Default Values"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Smazat"
"Delete Attribute","Odstranit atribut"
"Delete Attribute Set","Odstranit sadu atributů"
"Delete Category","Odstranit kategorii"
"Delete Group Price","Delete Group Price"
"Delete Option","Odstranit možnost"
"Delete Row","Odstranit řádek"
"Delete Search","Delete Search"
"Delete Selected Group","Odstranit vybranou skupinu"
"Delete Tier","Odstranit množstevní cenu"
"Delete attribute","Odstranit atribut"
"Delete category","Odstranit kategorii"
"Delete product","Odstranit produkt"
"Depends on design theme","Depends on design theme"
"Description","Popis"
"Design","Design"
"Details","Podrobnosti"
"Disabled","Vypnuto"
"Disallowed file type.","Disallowed file type."
"Display Actual Price","Zobrazit aktuální cenu"
"Display Page Control","Display Page Control"
"Display Price Interval as One Price","Display Price Interval as One Price"
"Display Product Count","Display Product Count"
"Display Type","Display Type"
"Display in Suggested Terms","Display in Suggested Terms"
"Double click on a group to rename it","Pro přejmenování poklepejte na skupinu"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Downloadable Information","Downloadable Information"
"Duplicate","Duplikovat"
"Duplicate amount found.","Duplicate amount found."
"Duplicate website group price customer group.","Duplicate website group price customer group."
"Duplicate website tier price customer group and quantity.","Duplicate website tier price customer group and quantity."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Upravit"
"Edit Attribute Set '%s'","Upravit sadu atributů '%s'"
"Edit Product Attribute","Upravit atribut produktu"
"Edit Product Attribute ""%s""","Edit Product Attribute ""%s"""
"Edit Search","Upravit hledání"
"Edit Search '%s'","Edit Search '%s'"
"Edit Set Name","Upravit název sady"
"Email","E-mail"
"Email to a Friend","Email to a Friend"
"Empty","Prázdný"
"Enable MAP","Enable MAP"
"Enable Qty Increments","Enable Qty Increments"
"Enable WYSIWYG","Povolit WYSIWYG"
"Enable for reindexing a big number of SKUs.","Enable for reindexing a big number of SKUs."
"Enabled","Zapnuto"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Exclude","Vyloučit"
"Expand All","Rozbalit vše"
"Failed","Failed"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Failed to copy file %s. Please, delete media with non-existing images and try again."
"Failed to move file: %s","Failed to move file: %s"
"Feature Products","Feature Products"
"Field is not complete","Field is not complete"
"File options format is not valid.","File options format is not valid."
"File upload failed","File upload failed"
"Filter","Filtr"
"Filter model name must be declared.","Filter model name must be declared."
"Filter must be an object. Please set correct filter.","Filter must be an object. Please set correct filter."
"Filterable (no results)","Filtrovatelné (bez počtu výsledků)"
"Filterable (with results)","Filtrovatelné (s počtem výsledků)"
"First Name","Jméno"
"Fixed","Fixed"
"For internal use.","Pro interní použití."
"For the last time placed.","For the last time placed."
"Frontend","Frontend"
"Frontend Model","Frontend Model"
"Frontend Properties","Frontend Properties"
"Gallery","Galerie"
"General Information","Všeobecné informace"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Get special price"
"Global","Globální"
"Globally Editable","Globally Editable"
"Go to Home Page","Go to Home Page"
"Grid","Mřížka"
"Group add","Přidat skupinu"
"Group remove","Odebrat skupinu"
"Grouped Product","Seskupený produkt"
"Groups","Skupiny"
"Home","Úvod"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Je-li prázdné, bude použit název kategorie"
"If empty, the Product Name will be used","Je-li prázdné, bude použit název produktu"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Obrázek"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image does not exist.","Obrázek není k dispozici."
"Image file was not found.","Soubor obrázku nebyl nalezen."
"Image type and information need to be specified for each store view.","Image type and information need to be specified for each store view."
"In Cart","V košíku"
"In Stock","Skladem"
"In stock","Skladem"
"Incl. Tax","S DPH"
"Index product and categories URL rewrites","Index product and categories URL rewrites"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index product prices"
"Indexed category/products association","Indexed category/products association"
"Info","Informace"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Input Type"
"Integer","Celé číslo"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Invalid attribute option specified for attribute %s (%s), skipping the record."
"Invalid attribute set specified, skipping the record.","Invalid attribute set specified, skipping the record."
"Invalid block: %s.","Invalid block: %s."
"Invalid category IDs.","Invalid category IDs."
"Invalid category.","Neplatná kategorie."
"Invalid image file type.","Invalid image file type."
"Invalid image type.","Invalid image type."
"Invalid option ID specified for %s (%s), skipping the record.","Invalid option ID specified for %s (%s), skipping the record."
"Invalid product type specified, skipping the record.","Invalid product type specified, skipping the record."
"Invalid store specified","Invalid store specified"
"Invalid store specified, skipping the record.","Invalid store specified, skipping the record."
"Invalid tier prices. The product is not associated to the requested website.","Invalid tier prices. The product is not associated to the requested website."
"Inventory","Sklad"
"Is Default","Je výchozí"
"Is Required","Je vyžadován"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Label","Štítek"
"Last Name","Příjmení"
"Last Notification","Poslední oznámení"
"Layered Navigation","Vrstvená navigace"
"Learn More","Dozvědět se více"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product does not exist.","Link product does not exist."
"Link to a Specified Category","Odkaz na danou kategorii"
"Link to a Specified Product","Odkaz na daný produkt"
"List","Seznam"
"List Mode","List Mode"
"List of Products that are set as New","List of Products that are set as New"
"List of types","List of types"
"Manage Attribute Sets","Správa sad atributů"
"Manage Attributes","Správa atributů"
"Manage Catalog Categories","Správa kategorií katalogu"
"Manage Categories","Správa kategorií"
"Manage Label / Options","Manage Label / Options"
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"Manage Product Attributes","Správa atributů produktu"
"Manage Product Sets","Správa sad produktů"
"Manage Products","Správa produktů"
"Manage Stock","Správa skladu"
"Manage Titles (Size, Color, etc.)","Manage Titles (Size, Color, etc.)"
"Max Characters","Maximální počet znaků"
"Maximal Depth","Maximální hloubka"
"Maximum Image Size","Maximální velikost obrázku"
"Maximum Number of Price Intervals","Maximální počet cenových intervalů"
"Maximum Qty Allowed in Shopping Cart","Maximální povolené množství v košíku"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Maximální výška obrázku"
"Maximum image width","Maximální šířka obrázku"
"Maximum number of characters:","Maximální počet znaků:"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Maximum width base product image will be scaled down to in pixels","Maximum width base product image will be scaled down to in pixels"
"Maximum width small product image will be scaled down to in pixels","Maximum width small product image will be scaled down to in pixels"
"Media Image","Media Image"
"Minimum Advertised Price","Minimum Advertised Price"
"Minimum Lines per Page","Minimum Lines per Page"
"Minimum Qty Allowed in Shopping Cart","Minimální povolené množství v košíku"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record.","Missing SKU, skipping the record."
"More Views","More Views"
"Move","Přesunout"
"Move category in tree","Move category in tree"
"Must be in the allowed values list.","Must be in the allowed values list."
"My Account","Můj účet"
"N/A","N/A"
"Name","Name"
"Name in %s","Name in %s"
"New Product","Nový produkt"
"New Product Attribute","Nový atribut produktu"
"New Products","Nové produkty"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Root Category","New Root Category"
"New Search","Nové hledání"
"New Set Name","Nový název sady"
"New Subcategory","Nová podkategorie"
"New products","Nové produkty"
"Next","Další"
"No","Ne"
"No image","Bez obrázku"
"No layout updates","Žádné aktualizace rozložení"
"No options of this product are available.","No options of this product are available."
"No product collections found.","No product collections found."
"None","Nic"
"Not Visible Individually","Není vidět samostatně"
"Notify Low Stock RSS","Notify Low Stock RSS"
"Notify for Quantity Below","Notify for Quantity Below"
"Number of Products per Page","Počet produktů na stránku"
"Number of Products to Display","Počet produktů pro zobrazení"
"Number of Uses","Počet použití"
"Number of results","Počet výsledků"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"OK","OK"
"OR","NEBO"
"Old Price:","Stará cena:"
"On Gesture","On Gesture"
"Option validation failed to add product to cart.","Option validation failed to add product to cart."
"Option values","Option values"
"Option:","Možnost:"
"Options","Možnosti"
"Options Control","Options Control"
"Options is required","Options is required"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Není skladem"
"Out of stock","Není skladem"
"PM","odpoledne"
"Page Title Separator","Page Title Separator"
"Parent Category","Nadřazená kategorie"
"Pending","Čeká na vyřízení"
"Pending Reviews RSS","Pending Reviews RSS"
"Percentage","Procenta"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on the Close Window button if it is not closed automatically.","Please click on the Close Window button if it is not closed automatically."
"Please enter a new group name","Please enter a new group name"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>"
"Please select a static block ...","Vyberte statický blok..."
"Please select items.","Vyberte položky."
"Please select one or more attributes.","Please select one or more attributes."
"Please select product(s).","Vyberte produkt(y)."
"Please select products for attributes update","Please select products for attributes update"
"Please set up merge date/time","Please set up merge date/time"
"Please set up merge date/time later then present date","Please set up merge date/time later then present date"
"Please specify date required option(s).","Please specify date required option(s)."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product required option(s).","Please specify the product required option(s)."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"Please specify the product\'s required option(s).","Please specify the product\'s required option(s)."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
"Please specify time required option(s).","Please specify time required option(s)."
"Please wait...","Počkejte prosím..."
"Position","Position"
"Position in Layered Navigation","Pozice ve vrstvené navigaci"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Prev","Předchozí"
"Previous","Předchozí"
"Price","Cena"
"Price Navigation Step Calculation","Price Navigation Step Calculation"
"Price Type","Typ ceny"
"Price is not available","Cena není k dispozici"
"Price values for options should be specified in system base currency.","Price values for options should be specified in system base currency."
"Price:","Cena:"
"Price: %s","Cena: %s"
"Print This Page","Vytisknout tuto stránku"
"Product","Produkt"
"Product API","Product API"
"Product Alerts","Upozornění týkající se produktů"
"Product Attribute","Atribut produktu"
"Product Attributes","Atributy produktu"
"Product Categories","Kategorie produktů"
"Product Description","Popis produktu"
"Product Extra Info","Product Extra Info"
"Product Flat Data","Product Flat Data"
"Product ID","ID produktu"
"Product Image","Obrázek produktu"
"Product Image Placeholders","Náhradní obrázky (pro produkty bez vlastního obrázku)"
"Product Image Watermarks","Vodoznaky obrázků produktů"
"Product Images","Obrázky produktu"
"Product Images API","API pro obrázky produktů"
"Product In Websites","Product In Websites"
"Product Info Column","Product Info Column"
"Product Information","Product Information"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Product Listing Sort by","Product Listing Sort by"
"Product Name","Název produktu"
"Product Prices","Ceny produktu"
"Product Reviews","Recenze produktů"
"Product Tags","Štítky produktu"
"Product Tier Price API","Product Tier Price API"
"Product Type","Typy produktu"
"Product URL Suffix","Product URL Suffix"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","Product attribute sets API"
"Product attributes API","Product attributes API"
"Product collection expected.","Product collection expected."
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product types API","Product types API"
"Product with this combination of attributes already associated to configurable.","Product with this combination of attributes already associated to configurable."
"Products","Produkty"
"Products Comparison List","Products Comparison List"
"Products Information","Products Information"
"Products Reviews","Recenze produktů"
"Products Sitemap","Products Sitemap"
"Products only","Pouze produkty"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Properties","Vlastnosti"
"Qty","Množství"
"Qty Increments","Násobky množství"
"Qty Uses Decimals","Množství používá desetiny"
"Qty for Item\'s Status to Become Out of Stock","Qty for Item\'s Status to Become Out of Stock"
"Qty:","Množství:"
"Quantity","Množství"
"Quick Create","Quick Create"
"Quick Overview","Quick Overview"
"Quick simple product creation","Quick simple product creation"
"Records for ""%s"" store found.","Records for ""%s"" store found."
"Redirect","Přesměrování"
"Redirect URL","Přesměrování URL"
"Regular Price:","Běžná cena:"
"Related Products","Související produkty"
"Remove","Odebrat"
"Remove Product From Websites","Odebrat produkt z webových stránek"
"Remove This Item","Odebrat tuto položku"
"Remove attribute from attribute set","Odebrat atribut ze sady atributů"
"Remove attribute set","Odebrat sadu atributů"
"Remove custom option","Odebrat vlastní možnost"
"Remove group from attribute set","Odebrat skupinu ze sady atributů"
"Remove option","Odebrat možnost"
"Remove product assignment","Odebrat přiřazení produktu"
"Remove product image","Odebrat obrázek produktu"
"Remove product link","Odebrat odkaz produktu"
"Remove value from custom option","Remove value from custom option"
"Rename existing group","Rename existing group"
"Rename group","Přejmenovat skupinu"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Reset","Obnovit"
"Results","Výsledky"
"Results per page","Výsledků na stránku"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve list of option values","Retrieve list of option values"
"Retrieve list of product custom options","Retrieve list of product custom options"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve option value info","Retrieve option value info"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
